# file...... Load671Power.csv
# date...... Wed Aug 15 12:08:11 2018
# user...... hu000007
# host...... (null)
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,l671:constant_power_A,l671:constant_power_B,l671:constant_power_C,l6711:constant_power_A,l6711:constant_power_B,l6711:constant_power_C
2000-01-02 12:01:00 EST,+71643.6+42143.3j,+99512.4+57295j,+101720+59119.3j,+77341.6+30298.8j,+70552.6+62252.3j,+133393+97514.8j
2000-01-02 13:01:00 EST,+69672.8+40984j,+100030+57592.8j,+98916.8+57490.1j,+82447.8+32299.2j,+70551.3+62251.2j,+131327+96004.4j
2000-01-02 14:01:00 EST,+69584.5+40932.1j,+91863.5+52891.1j,+102010+59288.1j,+80806.4+31656.1j,+70567.9+62265.8j,+131456+96098.8j
2000-01-02 15:01:00 EST,+71273.9+41925.8j,+99565.6+57325.6j,+100413+58359.8j,+81998.5+32123.1j,+70572.7+62270.1j,+129639+94770.8j
2000-01-02 16:01:00 EST,+71013.9+41772.9j,+97308.6+56026.2j,+101394+58929.6j,+80860.1+31677.1j,+70546.5+62246.9j,+126817+92707.9j
2000-01-02 17:01:00 EST,+71217+41892.4j,+94310.8+54300.2j,+100472+58394.3j,+79336.8+31080.4j,+70564.2+62262.5j,+132171+96621.8j
2000-01-02 18:01:00 EST,+72154.7+42444j,+96282.8+55435.5j,+100423+58365.6j,+76290.9+29887.2j,+70563.5+62261.9j,+131600+96203.9j
2000-01-02 19:01:00 EST,+69493.5+40878.5j,+93765.7+53986.3j,+99750.2+57974.4j,+75072.1+29409.7j,+70556.3+62255.5j,+127295+93057.2j
2000-01-02 20:01:00 EST,+70772.5+41630.9j,+100104+57635.7j,+99025.5+57553.3j,+76675.9+30038j,+70559.2+62258.1j,+130293+95248.6j
2000-01-02 21:01:00 EST,+71611.7+42124.5j,+94446.6+54378.4j,+99429.4+57788.1j,+77261.2+30267.3j,+70567.2+62265.1j,+131610+96211.3j
2000-01-02 22:01:00 EST,+72192.8+42466.4j,+99600+57345.4j,+100044+58145.5j,+77185.8+30237.7j,+70546.7+62247.1j,+126213+92266.2j
2000-01-02 23:01:00 EST,+72161.7+42448.1j,+100012+57582.7j,+103140+59944.4j,+79932.6+31313.8j,+70545.6+62246.1j,+132345+96748.8j
2000-01-03 00:01:00 EST,+69300.5+40765j,+93983.5+54111.7j,+102405+59517.5j,+76385.1+29924.1j,+70555.3+62254.7j,+132204+96646j
2000-01-03 01:01:00 EST,+70739.3+41611.4j,+94259.5+54270.6j,+99976.3+58105.9j,+74801.6+29303.7j,+70547.5+62247.8j,+130689+95538.4j
2000-01-03 02:01:00 EST,+70792.8+41642.8j,+93119.2+53614.1j,+99462.1+57807j,+80228.4+31429.7j,+70557+62256.1j,+132940+97183.6j
2000-01-03 03:01:00 EST,+69602+40942.3j,+98716.1+56836.6j,+99664.5+57924.7j,+80416.4+31503.3j,+70554.6+62254j,+131065+95813.4j
2000-01-03 04:01:00 EST,+70920.1+41717.7j,+99791.4+57455.6j,+102737+59710.3j,+77064.9+30190.4j,+70555.4+62254.8j,+130555+95440.2j
2000-01-03 05:01:00 EST,+70074+41220j,+94510+54414.8j,+102673+59673j,+77148+30222.9j,+70563.6+62262j,+128411+93872.6j
2000-01-03 06:01:00 EST,+70157.3+41269j,+94638.7+54488.9j,+101620+59060.9j,+77166.1+30230j,+70550.5+62250.4j,+125092+91446.2j
2000-01-03 07:01:00 EST,+69414.9+40832.3j,+96522+55573.3j,+99523.5+57842.7j,+78909.2+30912.9j,+70550.8+62250.7j,+127813+93435.5j
2000-01-03 08:01:00 EST,+70495.7+41468.1j,+95158+54787.9j,+100074+58162.7j,+84142.5+32963j,+70569+62266.8j,+124729+91181.5j
2000-01-03 09:01:00 EST,+70278.1+41340.1j,+94222.9+54249.6j,+101957+59257.1j,+75196.7+29458.5j,+70550.4+62250.4j,+132263+96689j
2000-01-03 10:01:00 EST,+71794+42231.8j,+96587.3+55610.9j,+100645+58494.5j,+80656.3+31597.3j,+70553.2+62252.8j,+130166+95155.9j
2000-01-03 11:01:00 EST,+71304.1+41943.6j,+95390.2+54921.6j,+101628+59065.8j,+80170.6+31407j,+70567.4+62265.3j,+127292+93055j
2000-01-03 12:01:00 EST,+71590+42111.8j,+99313.1+57180.3j,+102925+59819.4j,+79658+31206.2j,+70563.2+62261.7j,+129643+94773.6j
2000-01-03 13:01:00 EST,+71459.5+42035j,+93250.2+53689.5j,+99319.2+57724j,+84006.8+32909.9j,+70572.4+62269.8j,+129924+94979.2j
2000-01-03 14:01:00 EST,+72274.7+42514.5j,+93842.9+54030.8j,+100672+58510j,+81875.3+32074.8j,+70563.1+62261.6j,+131581+96190.4j
2000-01-03 15:01:00 EST,+70633.5+41549.1j,+96091.4+55325.4j,+99421.4+57783.4j,+75718.4+29662.9j,+70562.7+62261.2j,+131987+96487.1j
2000-01-03 16:01:00 EST,+69845.5+41085.6j,+97007.1+55852.6j,+101773+59149.9j,+77618.5+30407.2j,+70567.9+62265.8j,+131698+96276j
2000-01-03 17:01:00 EST,+69432.8+40842.9j,+95897.4+55213.7j,+102669+59670.7j,+84427.5+33074.7j,+70547.2+62247.6j,+134197+98102.6j
2000-01-03 18:01:00 EST,+70839.9+41670.5j,+98556.8+56744.8j,+99413.8+57778.9j,+80252.4+31439.1j,+70559.1+62258.1j,+126748+92656.9j
2000-01-03 19:01:00 EST,+69615.1+40950j,+94375.5+54337.4j,+99836.1+58024.4j,+79105+30989.6j,+70568.4+62266.3j,+128023+93589j
2000-01-03 20:01:00 EST,+71829.7+42252.8j,+96177.5+55374.9j,+102809+59752j,+81527+31938.4j,+70546.8+62247.2j,+125161+91496.6j
2000-01-03 21:01:00 EST,+71394.9+41997j,+96443.5+55528.1j,+102508+59577.6j,+76642.7+30025j,+70573.5+62270.8j,+125357+91640.1j
2000-01-03 22:01:00 EST,+71688.5+42169.7j,+99270.7+57155.9j,+101407+58937.4j,+76861.6+30110.7j,+70567.2+62265.1j,+127147+92949.1j
2000-01-03 23:01:00 EST,+71572.5+42101.4j,+96125.7+55345.1j,+101251+58846.9j,+82848.7+32456.2j,+70568.7+62266.5j,+131233+95936j
2000-01-04 00:01:00 EST,+70555.3+41503.1j,+94549.5+54437.6j,+101246+58843.6j,+83058+32538.2j,+70549.5+62249.6j,+128791+94150.6j
2000-01-04 01:01:00 EST,+72264.8+42508.7j,+97952+56396.6j,+100814+58593j,+80935.5+31706.7j,+70569.9+62267.6j,+125065+91426.9j
2000-01-04 02:01:00 EST,+70366+41391.8j,+97548.5+56164.3j,+100935+58663j,+76971+30153.6j,+70564.8+62263j,+130184+95168.6j
2000-01-04 03:01:00 EST,+70413+41419.4j,+93464.8+53813.1j,+99727.4+57961.2j,+79465.7+31130.9j,+70569.1+62266.8j,+132031+96519.2j
2000-01-04 04:01:00 EST,+71899.1+42293.6j,+92370.1+53182.8j,+101777+59152.2j,+78170.8+30623.6j,+70546.7+62247.1j,+134127+98051.5j
2000-01-04 05:01:00 EST,+69863.9+41096.4j,+97343.6+56046.3j,+100496+58407.8j,+76953.9+30146.9j,+70565.5+62263.7j,+125582+91804.5j
2000-01-04 06:01:00 EST,+70505.1+41473.6j,+93041+53569.1j,+101637+59071.1j,+78202+30635.8j,+70553.1+62252.8j,+126315+92340.6j
2000-01-04 07:01:00 EST,+69673.1+40984.2j,+96179.2+55375.9j,+101877+59210.4j,+78227.9+30646j,+70567.8+62265.7j,+131222+95928.1j
2000-01-04 08:01:00 EST,+69654+40972.9j,+95130+54771.8j,+103278+60024.6j,+75671.2+29644.4j,+70551.9+62251.7j,+130574+95454.2j
2000-01-04 09:01:00 EST,+69845.2+41085.4j,+91974.9+52955.2j,+99611.9+57894.1j,+83688.5+32785.2j,+70545.1+62245.7j,+129081+94362.7j
2000-01-04 10:01:00 EST,+70609.8+41535.2j,+97356.6+56053.8j,+100145+58203.7j,+75469.4+29565.4j,+70551.7+62251.5j,+131306+95988.9j
2000-01-04 11:01:00 EST,+71906.4+42297.9j,+91877.6+52899.2j,+99471.6+57812.5j,+79222.7+31035.7j,+70566.6+62264.7j,+128265+93766.5j
2000-01-04 12:01:00 EST,+69459.9+40858.8j,+93516.3+53842.7j,+102164+59377.3j,+81479.7+31919.9j,+70573.2+62270.5j,+126561+92520.3j
2000-01-04 13:01:00 EST,+71058.5+41799.1j,+94114.2+54187j,+101854+59197.3j,+75720.9+29663.9j,+70552.9+62252.6j,+129628+94762.2j
2000-01-04 14:01:00 EST,+71215.5+41891.5j,+100243+57715.9j,+102006+59285.8j,+77784.6+30472.3j,+70564.8+62263j,+125432+91695.3j
